title|overall_price|area|number_of_rooms|floor|type_of_market|parking|elevator|year_of_creation|internet|type_of_building|basement|price_for_m2_in_PLN|balcony|garden|terrace|street|district|city|latitude|longtitude
4-pokojowe mieszkanie 65m2 + ogródek Bezpośrednio|819900.0|65.57|4|0.0||1|0|||||12504.19|0|1|1|zakole|stogi|gdansk|54.362472|18.709969
1 pokojowe + balkon INWESTYCYJNIe na DNI OTWARTE|412024.0|26.01|1|2.0|primary|1|1||0.0|Mieszkanie|0.0|15840.98|1|0|0||śródmieście|gdansk|54.34902|18.6518
Kompleks 5 apartamentów. Wysoki standard|2990000.0|150.0|8|4.0|secondary|1|0|1929.0|1.0|Mieszkanie|1.0|19933.33|1|0|0|wójta radtkego|śródmieście|gdynia|54.522236|18.537335
Apartament inwestycyjny, ostatnie piętro, k/Skm, U|416907.0|24.89|1|5.0|secondary|0|1|2022.0|1.0|Mieszkanie|0.0|16749.98|0|0|0|śląska 12|przymorze|gdansk|54.406171|18.576846
Apartament inwestycyjny Śląska 12 z umową najmu!|475820.0|25.72|1|0.0|secondary|0|1|2022.0|1.0|Mieszkanie|0.0|18500.0|0|0|0|śląska 12|przymorze|gdansk|54.406171|18.576846
Nowe mieszkanie, wykończone - Mariana Kołodzieja|550000.0|34.38|2|3.0|secondary|1|1|2022.0|1.0|Mieszkanie|0.0|15997.67|1|0|0|mariana kołodzieja|ujeścisko-łostowice|gdansk|54.334542|18.58575
Wyjątkowe mieszkanie w centrum Gdyni, blisko lasu!|1165000.0|101.58|4|5.0|secondary|0|1|1997.0|1.0|Mieszkanie|0.0|11468.79|0|0|0|janusza korczaka|redłowo|gdynia|54.494118|18.543134
"Mieszkanie w centrum, 500 m. od ""Starego Miasta"""|690000.0|51.81|3|3.0|secondary|0|1||1.0|Mieszkanie|0.0|13317.89|1|0|0||śródmieście|gdansk|54.34902|18.6518
"2 pokoje | nowe budownictwo"|660000.0|42.7|2|1.0|secondary|1|0|2015.0|0.0||1.0|15456.67|1|0|0||grabówek|gdynia|54.51768|18.53892
3-pokojowe mieszkanie 74m2 + balkon Bez Prowizji|789276.0|74.46|3|1.0||1|0|||||10600.0|1|0|0|zbożowa|cisowa|gdynia|54.548571|18.443583
4-pokojowe mieszkanie 76m2 + balkon|1190728.0|76.11|4|4.0||1|0|||||15644.83|1|0|0|kartuska|siedlce|gdansk|54.344108|18.581773
Mieszkanie w świetnej lokalizacji Gdynia Dąbrowa|699000.0|68.0|3|1.0|secondary|0|0|2000.0|1.0|Mieszkanie|1.0|10279.41|1|0|0|oliwkowa|dąbrowa|gdynia|54.47118|18.470508
Słoneczne mieszkanie z widokiem na Żuławy|939000.0|76.29|4|2.0|secondary|0|0|2004.0|1.0|Mieszkanie|1.0|12308.3|1|0|0|stanisława hebanowskiego|chełm|gdansk|54.332494|18.627851
Mieszkanie z potencjałem. 2 pokoje blisko centrum|627000.0|50.19|2|3.0|secondary|1|0|1955.0|1.0|Mieszkanie|1.0|12492.53|0|0|0|zagrodowa|siedlce|gdansk|54.350296|18.627677
2-pokojowe mieszkanie 45m2 + balkon Bez Prowizji|854312.0|45.69|2|1.0||1|0|||||18698.01|1|0|0|mariana hemara|wrzeszcz górny|gdansk|54.34902|18.6518
Dwa pokoje na Przymorzu z widokiem na zieleń|460000.0|38.0|2|4.0|secondary|0|1|1980.0|1.0|Mieszkanie|0.0|12105.26|0|0|0|aleja rzeczypospolitej|przymorze|gdansk|54.398857|18.594873
4-pokojowe mieszkanie 90m2 + loggia|2296922.0|90.4|4|10.0||1|0|||||25408.43|0|0|0|stefana jaracza|młyniska|gdansk|54.363198|18.647647
Z widokiem na morze, po generalnym remoncie|735000.0|52.6|3|7.0|secondary|1|1|1981.0|1.0|Mieszkanie|1.0|13973.38|0|0|0||działki leśne|gdynia|54.468913|18.519745
SPRZEDAM KOMFORTOWE M3 - bez pośredników !|660000.0|44.15|2|1.0|secondary|1|1|2022.0|1.0|Mieszkanie|0.0|14949.04|1|0|0||orunia górna - gdańsk południe|gdansk|54.321794|18.617544
Dwu pokojowe, umeblowane, gotowe do wprowadzenia|538000.0|42.75|2|1.0|secondary|0|1|2021.0|1.0|Mieszkanie|0.0|12584.8|1|0|0|romana felińskiego|chwarzno-wiczlino|gdynia|54.490386|18.423491
Mieszkanie 48m2 + ogród 65m2. 2 pokoje Chwarzno|547000.0|48.0|2|0.0|secondary|0|0|2000.0|0.0|Mieszkanie|0.0|11395.83|0|1|0|franciszka sokoła|chwarzno-wiczlino|gdynia|54.490386|18.423491
2-pokojowe mieszkanie 55m2 + ogródek|567736.0|55.12|2|0.0||1|0|||||10300.0|0|1|0|świętokrzyska|ujeścisko-łostowice|gdansk|54.319012|18.590547
lokal INWESTYCYJNIE >25m2 cenaBrutto ODLICZ VAT23%|439051.0|28.67|1|1.0|primary|1|1||0.0|Mieszkanie|0.0|15313.95|1|0|0||śródmieście|gdansk|54.34902|18.6518
