|title|district|area|number_of_rooms|year_of_creation|price_for_m2_in_PLN|type_of_building|garage|balcony|internet|parking|elevator|floor|terrace|basement|garden|type_of_market
0|3pok 50m2 taras 10m2 blisko morza IIQ24 SE|Gdańsk Letnica|59|3|2024|12831|Mieszkanie|1|1|0|0|1|1|1|1|0|secondary
1|Wysoki standard   4 pok   Oliwa   kameralne|Gdańsk Oliwa, Opacka|99|4|2020|2424|Mieszkanie|0|1|0|1|1|3|0|0|0|secondary
2|Piękne 3 pokoje po remoncie, przy plaży|Gdańsk Jelitkowo, ul. Tysiąclecia|41.07|3|1970|19455|Mieszkanie|0|0|0|0|0|4|0|0|0|secondary
3|Widok na Jar Wilanowski - blok przy samym Parku|Gdańsk Chełm, Prof. Romualda Cebertowicza|63.1|3|1989|9984|Mieszkanie|0|1|1|0|0|4|0|1|0|secondary
4|Energooszczędne Mieszkanie 75m2 - 4 pokoje|Gdańsk|75|4|2024|5187|Mieszkanie|0|0|0|0|0|Parter|0|0|0|secondary
5|Mieszkanie 3-pokojowe 57m2 - ogłoszenie prywatne|Gdańsk Osowa, Zeusa|57|3|2011|11737|Mieszkanie|0|0|0|0|0|3|0|0|0|secondary
6|4 Pokoje I Myśliwska I Mieszkanie z 2 tarasami|Gdańsk Morena, Myśliwska|74.87|4|2011|128|Mieszkanie|1|0|0|0|1|3|0|0|0|secondary
7|Słoneczne / blisko centrum / wolne od zaraz|Gdańsk Przeróbka, Przetoczna|54.|3|1935|8487|Mieszkanie|0|0|0|0|0|1|0|1|0|secondary
8|Słoneczne / w pierwszej linii brzegowej|Gdańsk Brzeźno, Północna|60|2|1910|12917|Mieszkanie|0|0|1|0|0|1|0|0|0|secondary
9|Fort Forest 113 m2 - duże jasne. W cenie garaż|Gdynia Chwarzno-Wiczlino, Kańskiego 7a|113|5|2009|15885|Mieszkanie|1|1|1|0|1|2|1|0|0|secondary
10|Sprzedam mieszkanie 40m2 Gdańsk - Jasień|Gdańsk Jasień, Potęgowska|40|2|2013|12975|Mieszkanie|0|1|1|1|1|1|0|0|0|secondary
11|Matarnia. Ogródek. Taras. Szybkie wydanie.|Gdańsk Matarnia - Rębiechowo, Elewów|56|3|1994|1273|Mieszkanie|0|0|1|1|0|Parter|0|0|0|secondary
12|Duży balkon. superlokalizacja - 400m od Długiej.|Gdańsk Długie Ogrody, Świętej Barbary|6|3|1965|14435|Mieszkanie|0|1|1|1|0|3|0|1|0|secondary
13|Zamieszkaj przy parku reagana!|Gdańsk Przymorze, Jagiellońska|65|4|1973|1029|Mieszkanie|0|0|0|0|1|Parter|0|0|0|secondary
14|Mieszkania do sprzedaży na Oksywiu|Gdynia Oksywie, Bosmańska|53|2|1955|9057|Mieszkanie|0|0|0|1|0|1|0|1|0|secondary
15|Umeblowane 2-pok. przy lesie, panoramiczny widok|Gdynia Chylonia, Rozewska|40|2|1980|12375|Mieszkanie|0|0|0|1|1|11|0|1|0|secondary
16|Ekskluzywny apartament z niepowtarzalnym widokiem|Gdańsk Długie Ogrody, Szafarnia|94|3|2010|30319|Mieszkanie|0|1|0|1|0|3|0|0|0|secondary
17|Dom (Bliźniak) - Gdynia Dąbrowa|Gdynia Dąbrowa, Majerankowa|243|6|2013|720|Dom bliźniak|1|1|0|1|0|nan|0|0|1|secondary
18|Dom (Piętro domu) - Gdańsk Wrzeszcz|Gdańsk Wrzeszcz, Grzegorza Z Sanoka|151.8|8|1968|7246|Dom wolnostojący|1|1|0|1|0|nan|0|1|0|secondary
19|Mieszkanie - Gdynia Mały Kack|Gdynia Mały Kack, Strzelców|54.8|2|2010|12755|Mieszkanie|0|1|0|1|0|1|0|0|0|secondary
20|Słoneczne 3-Pokojowe Mieszkanie w Gdyni 65m2|Gdynia Wiczlino, Zaruskiego|65|3|2011|12154|Mieszkanie|0|1|1|0|0|2|0|0|0|secondary
21|Komfortowo urządzone mieszkanie 1-pok. wolne od zaraz|Gdańsk Jasień, Lawendowe Wzgórze|28.44|1|2019|15436|Mieszkanie|0|1|1|1|1|2|0|0|0|secondary
22|3 pok. Generalny remont. Blisko Lasu i SKM. Bezpośrednio|Gdynia Chylonia, Swarzewska 50|46|3|1985|1215|Mieszkanie|0|1|1|0|1|6|0|1|0|secondary
23|Dom Gdynia Orłowo, w zieleni blisko morza|Gdynia Orłowo, Świętopełka|256|6|2010|2285|Dom wolnostojący|1|1|0|1|0|nan|0|1|1|secondary
24|Klimatyczne mieszkanie w sercu Oliwy|Gdańsk Oliwa, Jana Husa|71|3|1926|15915|Mieszkanie|0|0|1|0|0|1|1|1|0|secondary
25|Centrum   Do remontu   Z potencjałem|Gdańsk Dolne Miasto, Polna|38|2|1920|14210|Mieszkanie|0|0|0|0|0|2|0|1|0|secondary
26|Słoneczne mieszkanie z potencjałem|Gdańsk Suchanino, Macieja Kamieńskiego|56.1|3|1979|1060|Mieszkanie|0|1|1|0|1|5|0|1|0|secondary
27|Słoneczne   Widok na Westerplatte   Balkon|Gdańsk Nowy Port, Oliwska|50|2|1970|8998|Mieszkanie|0|1|1|0|0|2|0|1|0|secondary
28|Mieszkanie blisko Parku Oruńskiego|Gdańsk Orunia, Raduńska|36|2|1970|12777|Mieszkanie|0|0|1|0|0|Parter|0|1|0|secondary
29|Mieszkanie w nadmorskiej dzielnicy|Gdańsk Stogi, Wilhelma Stryjewskiego|50.1|3|1969|10558|Mieszkanie|0|0|1|0|0|1|0|1|0|secondary
30|Kawalerka / Park Reagana / balkon / słoneczne|Gdańsk Przymorze, Piastowska|18|1|1980|17777|Mieszkanie|0|1|1|0|1|5|0|1|0|secondary
31|Sprzedam trzypokojowe mieszkanie 80,14m2 w Gdyni Fikakowie.|Gdynia Wielki Kack, Górnicza 31 e|80.14|3|1998|9733|Mieszkanie|0|0|0|0|0|3|0|0|0|secondary
32|Sprzedam słoneczne mieszkanie 3-pokojowe.|Gdańsk Maćkowy, Starogardzka 63|53|3|2017|11679|Mieszkanie|0|1|1|1|1|2|1|0|0|secondary
33|3 pokoje w centrum wrzeszcza!|Gdańsk Wrzeszcz, Gen. Józefa Hallera|65.7|3|1941|12005|Mieszkanie|0|0|0|1|0|2|0|1|1|secondary
34|3 mieszkania-DOM*Taras*1km SKM*7min Centrum|Gdynia Mały Kack, Sandomierska|171|6|1980|7544|Dom wolnostojący|0|0|0|0|0|nan|0|0|0|secondary
