|title|district|latitude|longitude|area|number_of_rooms|year_of_creation|price_for_m2_in_PLN|type_of_building|garage|balcony|internet|parking|elevator|floor|terrace|basement|garden|type_of_market
0|3 pokoje   Nowoczesne   Winda   Balkon|Gdańsk Łostowice, Niepołomicka|54.31742615|18.593106398457195|50|3|2017|12600|Mieszkanie|0|1|1|1|1|1|0|0|0|secondary
1|4 pokoje / blisko centrum / blisko uczelni|Gdańsk Suchanino, Powstańców Warszawskich|50.702898|17.907467|64|4|1975|11640|Mieszkanie|0|1|0|0|0|4|0|1|0|secondary
2|Klimatyczne   dwupoziomowe   dobrze skomunikowane|Gdynia Wzgórze św. Maksymiliana, Gen. Jarosława Dąbrowskiego|54.50107075|18.53881452006297|53.44|3|1950|10984|Mieszkanie|0|0|0|0|0|1|0|0|0|secondary
3|Apartament Browar Gdański z 60 m2 tarasem|Gdańsk Wrzeszcz, Lelewela 6|52.236167|19.363019|60|3|2019|28250|Mieszkanie|1|0|1|0|1|1|0|0|1|secondary
4|Mieszkanie 4 pokojowe (100m2) - przy plaży. Gdańsk Letnica|Gdańsk Letnica, Starowiejska 81|54.3981198|18.6476667|100|4|2023|14500|Mieszkanie|0|1|1|1|1|5|0|0|0|secondary
5|Mieszkanie 2-pok. Gdańsk Wrzeszcz|Gdańsk Wrzeszcz, Konrada Leczkowa|54.377927650000004|18.620262870247064|40|2|1988|16000|Mieszkanie|0|0|1|1|1|2|0|0|0|secondary
6|Mieszkanie na sprzedaż, od właściciela, widok na morze!|Gdynia Śródmieście, Paderewskiego|51.951035|19.378243|30|2|1970|19567|Mieszkanie|0|0|0|0|0|7|0|0|0|secondary
7|Na sprzedaż mieszkanie 2-pokojowe z dużym balkonem w Gdańsku|Gdańsk, Kadmowa|54.327744949999996|18.617031712234997|34.4|2|2016|16570|Mieszkanie|0|1|0|1|1|2|0|0|0|secondary
8|Sprzedam mieszkanie 40m2 Gdańsk - Jasień|Gdańsk Jasień, Potęgowska|54.3314076|18.550409385581524|40|2|2013|12250|Mieszkanie|0|1|1|1|1|1|0|0|0|secondary
9|Sprzedam mieszkanie 3 pokoje 60,3m2|Gdynia Cisowa, Chylońska 255|54.5489989|18.4453877|60.3|3|1980|10995|Mieszkanie|0|0|0|0|0|2|0|0|0|secondary
10|Wyjątkowe mieszkanie z duszą czeka na nowych bohaterów!|Gdańsk Zakoniczyn, Porębskiego|54.3187243|18.5813595|70.8|3|2004|10975|Mieszkanie|0|1|1|0|0|1|0|0|0|secondary
