title|price[PLN]|area[m^2]|rooms|floor|market|parking|elevator|build year|internet|building_type|basement|price_per_m2|balkon|ogródek|taras|street|district|city
4-pokojowe mieszkanie 65m2 + ogródek Bezpośrednio|819900.0|65.57|4|0||1|0|||||12504.19|0|1|1|ul. Zakole|Stogi|Gdańsk
1 pokojowe + balkon INWESTYCYJNIe na DNI OTWARTE|412024.0|26.01|1|2|primary|1|1||0.0|Mieszkanie|0.0|15840.98|1|0|0|null|Śródmieście|Gdańsk
Kompleks 5 apartamentów. Wysoki standard|2990000.0|150.0|8|4|secondary|1|0|1929.0|1.0|Mieszkanie|1.0|19933.33|1|0|0|ul. Wójta Radtkego|Śródmieście|Gdynia
Apartament inwestycyjny, ostatnie piętro, k/Skm, U|416907.0|24.89|1|5|secondary|0|1|2022.0|1.0|Mieszkanie|0.0|16749.98|0|0|0|ul. Śląska 12|Przymorze Małe|Gdańsk
Apartament inwestycyjny Śląska 12 z umową najmu!|475820.0|25.72|1|0|secondary|0|1|2022.0|1.0|Mieszkanie|0.0|18500.0|0|0|0|ul. Śląska 12|Przymorze Małe|Gdańsk
Nowe mieszkanie, wykończone - Mariana Kołodzieja|550000.0|34.38|2|3|secondary|1|1|2022.0|1.0|Mieszkanie|0.0|15997.67|1|0|0|ul. Mariana Kołodzieja|Ujeścisko-Łostowice|Gdańsk
Wyjątkowe mieszkanie w centrum Gdyni, blisko lasu!|1165000.0|101.58|4|5|secondary|0|1|1997.0|1.0|Mieszkanie|0.0|11468.79|0|0|0|ul. Janusza Korczaka|Redłowo|Gdynia
"Mieszkanie w centrum, 500 m. od ""Starego Miasta"""|690000.0|51.81|3|3|secondary|0|1||1.0|Mieszkanie|0.0|13317.89|1|0|0|null|Śródmieście|Gdańsk
"2 pokoje | nowe budownictwo"|660000.0|42.7|2|1|secondary|1|0|2015.0|0.0||1.0|15456.67|1|0|0|null|Grabówek|Gdynia
3-pokojowe mieszkanie 74m2 + balkon Bez Prowizji|789276.0|74.46|3|1||1|0|||||10600.0|1|0|0|ul. Zbożowa|Cisowa|Gdynia
4-pokojowe mieszkanie 76m2 + balkon|1190728.0|76.11|4|4||1|0|||||15644.83|1|0|0|ul. Kartuska|Siedlce|Gdańsk
Mieszkanie w świetnej lokalizacji Gdynia Dąbrowa|699000.0|68.0|3|1|secondary|0|0|2000.0|1.0|Mieszkanie|1.0|10279.41|1|0|0|ul. Oliwkowa|Dąbrowa|Gdynia
Słoneczne mieszkanie z widokiem na Żuławy|939000.0|76.29|4|2|secondary|0|0|2004.0|1.0|Mieszkanie|1.0|12308.3|1|0|0|ul. Stanisława Hebanowskiego|Chełm|Gdańsk
Mieszkanie z potencjałem. 2 pokoje blisko centrum|627000.0|50.19|2|3|secondary|1|0|1955.0|1.0|Mieszkanie|1.0|12492.53|0|0|0|ul. Zagrodowa|Siedlce|Gdańsk
2-pokojowe mieszkanie 45m2 + balkon Bez Prowizji|854312.0|45.69|2|1||1|0|||||18698.01|1|0|0|ul. Mariana Hemara|Wrzeszcz Górny|Gdańsk
Dwa pokoje na Przymorzu z widokiem na zieleń|460000.0|38.0|2|4|secondary|0|1|1980.0|1.0|Mieszkanie|0.0|12105.26|0|0|0|Aleja Rzeczypospolitej|Przymorze Wielkie|Gdańsk
4-pokojowe mieszkanie 90m2 + loggia|2296922.0|90.4|4|10||1|0|||||25408.43|0|0|0|ul. Stefana Jaracza|Młyniska|Gdańsk
Z widokiem na morze, po generalnym remoncie|735000.0|52.6|3|7|secondary|1|1|1981.0|1.0|Mieszkanie|1.0|13973.38|0|0|0|null|Działki Leśne|Gdynia
