title|district|area|number_of_rooms|year_of_creation|price_for_m2_in_PLN|type_of_building|garage|balcony|internet|parking|elevator|floor|terrace|basement|garden|type_of_market|street|city|overall_price
3pok 50m2 taras 10m2 blisko morza IIQ24 SE|Letnica|59.0|3|2024|12831.0|Mieszkanie|1|1|0|0|1|1|1|1|0|secondary| null|gdansk|757029.0
Wysoki standard   4 pok   Oliwa   kameralne|Oliwa|99.0|4|2020|2424.0|Mieszkanie|0|1|0|1|1|3|0|0|0|secondary| Opacka|gdansk|239976.0
Piękne 3 pokoje po remoncie, przy plaży|Jelitkowo|41.07|3|1970|19455.0|Mieszkanie|0|0|0|0|0|4|0|0|0|secondary| ul. Tysiąclecia|gdansk|799016.85
Widok na Jar Wilanowski - blok przy samym Parku|Chełm|63.1|3|1989|9984.0|Mieszkanie|0|1|1|0|0|4|0|1|0|secondary| Prof. Romualda Cebertowicza|gdansk|629990.4
Energooszczędne Mieszkanie 75m2 - 4 pokoje|null|75.0|4|2024|5187.0|Mieszkanie|0|0|0|0|0|0|0|0|0|secondary| null|gdansk|389025.0
Mieszkanie 3-pokojowe 57m2 - ogłoszenie prywatne|Osowa|57.0|3|2011|11737.0|Mieszkanie|0|0|0|0|0|3|0|0|0|secondary| Zeusa|gdansk|669009.0
4 Pokoje I Myśliwska I Mieszkanie z 2 tarasami|Morena|74.87|4|2011|128.0|Mieszkanie|1|0|0|0|1|3|0|0|0|secondary| Myśliwska|gdansk|9583.36
Słoneczne / blisko centrum / wolne od zaraz|Przeróbka|54.0|3|1935|8487.0|Mieszkanie|0|0|0|0|0|1|0|1|0|secondary| Przetoczna|gdansk|458298.0
Słoneczne / w pierwszej linii brzegowej|Brzeźno|60.0|2|1910|12917.0|Mieszkanie|0|0|1|0|0|1|0|0|0|secondary| Północna|gdansk|775020.0
Fort Forest 113 m2 - duże jasne. W cenie garaż|Chwarzno-Wiczlino|113.0|5|2009|15885.0|Mieszkanie|1|1|1|0|1|2|1|0|0|secondary| Kańskiego 7a|gdynia|1795005.0
Sprzedam mieszkanie 40m2 Gdańsk - Jasień|Jasień|40.0|2|2013|12975.0|Mieszkanie|0|1|1|1|1|1|0|0|0|secondary| Potęgowska|gdansk|519000.0
