title|address|price[PLN]|area[m^2]|rooms|floor|market|build year|parking|building_type
Mieszkanie Gdańsk|Ujeścisko-Łostowice, Gdańsk, pomorskie|398 000 zł|39 m²|2|parter|pierwotny (zobacz inne nowe mieszkania w Gdańsku)|2024|w garażu podziemnym|blok mieszkalny; rok budowy: 2024
Nowe mieszkanie ul. Malinowa|Malinowa, Gdańsk, pomorskie||39,90 m²|2|parter|pierwotny (oferta dewelopera)|||apartamentowiec
Nowe mieszkanie ul. Malinowa|Malinowa, Gdańsk, pomorskie||60,04 m²|3|1|pierwotny (oferta dewelopera)|||apartamentowiec
Nowe mieszkanie ul. Malinowa|Malinowa, Gdańsk, pomorskie||50,65 m²|3|parter|pierwotny (oferta dewelopera)|||apartamentowiec
Mieszkanie Gdańsk|Ujeścisko-Łostowice, Gdańsk, pomorskie|366 055 zł|33 m²|2|1|pierwotny (zobacz inne nowe mieszkania w Gdańsku)|2024|w garażu podziemnym|blok mieszkalny; rok budowy: 2024 (blok w nowym budownictwie)
Mieszkanie Gdańsk|Ujeścisko-Łostowice, Gdańsk, pomorskie|537 365 zł|62,85 m²|4|1|pierwotny (zobacz inne nowe mieszkania w Gdańsku)|2024|w garażu podziemnym|blok mieszkalny; rok budowy: 2024
Mieszkanie Gdańsk|Jasień, Gdańsk, pomorskie|575 000 zł|59,80 m²|3|4|pierwotny (zobacz inne nowe mieszkania w Gdańsku)|2023|w garażu podziemnym|blok mieszkalny; rok budowy: 2023
Mieszkanie Gdańsk|Orunia-Św. Wojciech-Lipce, Gdańsk, pomorskie|381 310 zł|37 m²|2|parter|pierwotny (zobacz inne nowe mieszkania w Gdańsku)|2024|w garażu podziemnym|blok mieszkalny; rok budowy: 2024 (blok w nowym budownictwie)
Nowe mieszkanie Stogi, ul. Zakole 7|Zakole 7, Stogi, Gdańsk, pomorskie|639 900 zł|44,23 m²|2|1|pierwotny (oferta dewelopera)|||apartamentowiec
Nowe mieszkanie Stogi, ul. Zakole 7|Zakole 7, Stogi, Gdańsk, pomorskie|779 900 zł|62,36 m²|3|1|pierwotny (oferta dewelopera)|||apartamentowiec
Nowe mieszkanie Stogi, ul. Zakole 7|Zakole 7, Stogi, Gdańsk, pomorskie|999 900 zł|89,14 m²|4|parter|pierwotny (oferta dewelopera)|||apartamentowiec
Mieszkanie Gdańsk|Orunia-Św. Wojciech-Lipce, Gdańsk, pomorskie|565 550 zł|70,70 m²|4|3|pierwotny (zobacz inne nowe mieszkania w Gdańsku)|2024|w garażu podziemnym|blok mieszkalny; rok budowy: 2024 (blok w nowym budownictwie)
Mieszkanie Gdańsk|Jasień, Gdańsk, pomorskie|665 200 zł|71 m²|4|1|pierwotny (zobacz inne nowe mieszkania w Gdańsku)|2023|w garażu podziemnym|blok mieszkalny; rok budowy: 2023 (blok w nowym budownictwie)
Mieszkanie Gdańsk|Ujeścisko-Łostowice, Gdańsk, pomorskie|480 540 zł|50,85 m²|3|1|pierwotny (zobacz inne nowe mieszkania w Gdańsku)|2024|w garażu podziemnym|blok mieszkalny; rok budowy: 2024 (blok w nowym budownictwie)
Mieszkanie Gdańsk|Ujeścisko-Łostowice, Gdańsk, pomorskie|499 980 zł|56,50 m²|3|1|pierwotny (zobacz inne nowe mieszkania w Gdańsku)|2024|w garażu podziemnym|blok mieszkalny; rok budowy: 2024
Apartament, ul. Sienna Grobla|Sienna Grobla, Stare Miasto, Gdańsk, pomorskie|950 000 zł|37 m²|2|2|wtórny|2023|w garażu podziemnym|apartamentowiec; rok budowy: 2023
Mieszkanie, ul. Zeusa|Zeusa, Osowa, Gdańsk, pomorskie|647 000 zł|57 m²|3|3|wtórny|2011|-|blok mieszkalny; rok budowy: 2011
Nowe mieszkanie Ujeścisko, ul. Przemyska 29|Przemyska 29, Ujeścisko, Gdańsk, pomorskie||88,03 m²|2|4|pierwotny (oferta dewelopera)|||apartamentowiec
Nowe mieszkanie Ujeścisko, ul. Przemyska 29|Przemyska 29, Ujeścisko, Gdańsk, pomorskie||60 m²|2|4|pierwotny (oferta dewelopera)|||apartamentowiec
Nowe mieszkanie Ujeścisko, ul. Przemyska 29|Przemyska 29, Ujeścisko, Gdańsk, pomorskie||63,98 m²|3|2|pierwotny (oferta dewelopera)|||apartamentowiec
Apartament, ul. Cedrowa|Cedrowa, Ujeścisko, Gdańsk, pomorskie|619 000 zł|48,60 m²|2|1|wtórny|2015|w garażu podziemnym|apartamentowiec; rok budowy: 2015
Mieszkanie, ul. Kozia|Kozia, Śródmieście, Gdańsk, pomorskie|1 180 000 zł|53 m²|2|parter|wtórny|1950|-|kamienica; rok budowy: 1950 (blok w starym budownictwie)
Mieszkanie Gdańsk|Łostowice, Gdańsk, pomorskie|615 026 zł|59,92 m²|4|3|pierwotny (zobacz inne nowe mieszkania w Gdańsku)|-|tak|blok mieszkalny
Mieszkanie Gdańsk|Łostowice, Gdańsk, pomorskie|722 537 zł|68,12 m²|4|parter|pierwotny (zobacz inne nowe mieszkania w Gdańsku)|-|tak|blok mieszkalny
Mieszkanie, ul. Trakt św. Wojciecha|Trakt św. Wojciecha, Orunia, Gdańsk, pomorskie|580 000 zł|52,50 m²|3|2|wtórny|1920|przynależne na ulicy|kamienica; rok budowy: 1920 (blok w starym budownictwie)
