title|address|price[PLN]|area[m^2]|rooms|floor|market|addition|parking|elevator|build year|internet|buiiding_type|basement
4-pokojowe mieszkanie 65m2 + ogródek Bezpośrednio|ul. Zakole, Stogi, Gdańsk, pomorskie|819900.0|65.57|4|parter||taras, ogródek|garaż/miejsce parkingowe|||||
1 pokojowe + balkon INWESTYCYJNIe na DNI OTWARTE|Śródmieście, Gdańsk, pomorskie|412024.0|26.01|1|2|pierwotny|balkon|garaż/miejsce parkingowe|tak||0.0|apartamentowiec|0.0
Kompleks 5 apartamentów. Wysoki standard|ul. Wójta Radtkego, Śródmieście, Gdynia, pomorskie|2990000.0|150.0|8|4|wtórny|balkon|garaż/miejsce parkingowe|nie|1929|1.0|kamienica|1.0
Apartament inwestycyjny, ostatnie piętro, k/Skm, U|ul. Śląska 12, Przymorze Małe, Gdańsk, pomorskie|416907.0|24.89|1|5|wtórny|||tak|2022|1.0|apartamentowiec|0.0
Apartament inwestycyjny Śląska 12 z umową najmu!|ul. Śląska 12, Przymorze Małe, Gdańsk, pomorskie|475820.0|25.72|1|parter|wtórny|||tak|2022|1.0|apartamentowiec|0.0
Nowe mieszkanie, wykończone - Mariana Kołodzieja|ul. Mariana Kołodzieja, Ujeścisko-Łostowice, Gdańsk, pomorskie|550000.0|34.38|2|3|wtórny|balkon|garaż/miejsce parkingowe|tak|2022|1.0|blok|0.0
Wyjątkowe mieszkanie w centrum Gdyni, blisko lasu!|ul. Janusza Korczaka, Redłowo, Gdynia, pomorskie|1165000.0|101.58|4|5|wtórny|||tak|1997|1.0|blok|0.0
"Mieszkanie w centrum, 500 m. od ""Starego Miasta"""|Śródmieście, Gdańsk, pomorskie|690000.0|51.81|3|3|wtórny|balkon||tak||1.0|blok|0.0
"2 pokoje | nowe budownictwo"|Grabówek, Gdynia, pomorskie|660000.0|42.7|2|1|wtórny|balkon|garaż/miejsce parkingowe|nie|2015|0.0||1.0
3-pokojowe mieszkanie 74m2 + balkon Bez Prowizji|ul. Zbożowa, Cisowa, Gdynia, pomorskie|789276.0|74.46|3|1||balkon|garaż/miejsce parkingowe|||||
4-pokojowe mieszkanie 76m2 + balkon|ul. Kartuska, Siedlce, Gdańsk, pomorskie|1190728.0|76.11|4|4||balkon|garaż/miejsce parkingowe|||||
Mieszkanie w świetnej lokalizacji Gdynia Dąbrowa|ul. Oliwkowa, Dąbrowa, Gdynia, pomorskie|699000.0|68.0|3|1|wtórny|balkon||nie|2000|1.0|blok|1.0
Słoneczne mieszkanie z widokiem na Żuławy|ul. Stanisława Hebanowskiego, Chełm, Gdańsk, pomorskie|939000.0|76.29|4|2|wtórny|balkon||nie|2004|1.0|blok|1.0
Mieszkanie z potencjałem. 2 pokoje blisko centrum|ul. Zagrodowa, Siedlce, Gdańsk, pomorskie|627000.0|50.19|2|3|wtórny||garaż/miejsce parkingowe|nie|1955|1.0|kamienica|1.0
2-pokojowe mieszkanie 45m2 + balkon Bez Prowizji|ul. Mariana Hemara, Wrzeszcz Górny, Gdańsk, pomorskie|854312.0|45.69|2|1||balkon|garaż/miejsce parkingowe|||||
Dwa pokoje na Przymorzu z widokiem na zieleń|Aleja Rzeczypospolitej, Przymorze Wielkie, Gdańsk, pomorskie|460000.0|38.0|2|4|wtórny|||tak|1980|1.0|blok|0.0
4-pokojowe mieszkanie 90m2 + loggia|ul. Stefana Jaracza, Młyniska, Gdańsk, pomorskie|2296922.0|90.4|4|10|||garaż/miejsce parkingowe|||||
Z widokiem na morze, po generalnym remoncie|Działki Leśne, Gdynia, pomorskie|735000.0|52.6|3|7|wtórny||garaż/miejsce parkingowe|tak|1981|1.0|blok|1.0
SPRZEDAM KOMFORTOWE M3 - bez pośredników !|Orunia Górna - Gdańsk Południe, Gdańsk, pomorskie|660000.0|44.15|2|1|wtórny|balkon|garaż/miejsce parkingowe|tak|2022|1.0|blok|0.0
Dwu pokojowe, umeblowane, gotowe do wprowadzenia|ul. Romana Felińskiego, Wiczlino, Gdynia, pomorskie|538000.0|42.75|2|1|wtórny|balkon||tak|2021|1.0|blok|0.0
Mieszkanie 48m2 + ogród 65m2. 2 pokoje Chwarzno|ul. Franciszka Sokoła, Wiczlino, Gdynia, pomorskie|547000.0|48.0|2|parter|wtórny|ogródek||nie|2000|0.0|blok|0.0
2-pokojowe mieszkanie 55m2 + ogródek|ul. Świętokrzyska, Ujeścisko-Łostowice, Gdańsk, pomorskie|567736.0|55.12|2|parter||ogródek|garaż/miejsce parkingowe|||||
lokal INWESTYCYJNIE >25m2 cenaBrutto ODLICZ VAT23%|Śródmieście, Gdańsk, pomorskie|439051.0|28.67|1|1|pierwotny|balkon|garaż/miejsce parkingowe|tak||0.0|apartamentowiec|0.0
3 pokoje / blisko SKM / Oliwa|al. Grunwaldzka, Oliwa, Gdańsk, pomorskie|699000.0|56.2|3|2|wtórny|balkon|garaż/miejsce parkingowe|tak||0.0|blok|1.0
4-pokojowy apartament 71m2 + balkon Bez Prowizji|ul. Kardynała Wyszyńskiego, Śródmieście, Gdynia, pomorskie|1442278.0|71.02|4|2||balkon|garaż/miejsce parkingowe|||||
2-pokojowy apartament 51m2 + balkon Bez Prowizji|ul. Kardynała Wyszyńskiego, Śródmieście, Gdynia, pomorskie|1145026.0|51.29|2|4||balkon|garaż/miejsce parkingowe|||||
Olszynka 2 pokoje , garderoba, garaż|ul. Zielna, Olszynka, Gdańsk, pomorskie|499000.0|47.72|2|2|wtórny||garaż/miejsce parkingowe|nie|1930|0.0|kamienica|0.0
2 pokoje na Siedlcach w świetnej lokalizacji|ul. Seweryna Goszczyńskiego, Siedlce, Gdańsk, pomorskie|565000.0|51.0|2|3|wtórny|||nie|1993|0.0|blok|0.0
50 m2, Gdańsk, z umeblowaniem i wyposażeniem|ul. Potęgowska, Jasień, Gdańsk, pomorskie|580000.0|49.8|3|2|wtórny|balkon||nie|2013|1.0|blok|0.0
Apartament Premium gotowy do zamieszkania Gdynia|ul. Legionów, Redłowo, Gdynia, pomorskie|1788000.0|68.38|3|8|wtórny|balkon|garaż/miejsce parkingowe|tak|2023|1.0|apartamentowiec|0.0
