area|number_of_rooms|floor|type_of_market|parking|elevator|year_of_creation|internet|type_of_building|basement|price_for_m2_in_PLN|balcony|garden|terrace|street|district|city|latitude|longtitude|city_district
24.89|1.0|4-7|secondary|0|1|2022.0|1.0|Apartment|0.0|16749.98|0|0|0|śląska 12|przymorze|gdansk|54.406171|18.576846|gdansk_przymorze
25.72|1.0|0|secondary|0|1|2022.0|1.0|Apartment|0.0|18500.0|0|0|0|śląska 12|przymorze|gdansk|54.406171|18.576846|gdansk_przymorze
34.38|2.0|1-3|secondary|1|1|2022.0|1.0|Apartment|0.0|15997.67|1|0|0|mariana kołodzieja|ujeścisko-łostowice|gdansk|54.334542|18.58575|gdansk_ujeścisko-łostowice
101.58|4.0|4-7|secondary|0|1|1997.0|1.0|Apartment|0.0|11468.79|0|0|0|janusza korczaka|redłowo|gdynia|54.494118|18.543134|gdynia_redłowo
68.0|3.0|1-3|secondary|0|0|2000.0|1.0|Apartment|1.0|10279.41|1|0|0|oliwkowa|dąbrowa|gdynia|54.47118|18.470508|gdynia_dąbrowa
76.29|4.0|1-3|secondary|0|0|2004.0|1.0|Apartment|1.0|12308.3|1|0|0|stanisława hebanowskiego|chełm|gdansk|54.332494|18.627851|gdansk_chełm
50.19|2.0|1-3|secondary|1|0|1955.0|1.0|Apartment|1.0|12492.53|0|0|0|zagrodowa|siedlce|gdansk|54.350296|18.627677|gdansk_siedlce
38.0|2.0|4-7|secondary|0|1|1980.0|1.0|Apartment|0.0|12105.26|0|0|0|aleja rzeczypospolitej|przymorze|gdansk|54.398857|18.594873|gdansk_przymorze
52.6|3.0|4-7|secondary|1|1|1981.0|1.0|Apartment|1.0|13973.38|0|0|0||działki leśne|gdynia|54.468913|18.519745|gdynia_działki leśne
44.15|2.0|1-3|secondary|1|1|2022.0|1.0|Apartment|0.0|14949.04|1|0|0||orunia górna - gdańsk południe|gdansk|54.321794|18.617544|gdansk_orunia górna - gdańsk południe
42.75|2.0|1-3|secondary|0|1|2021.0|1.0|Apartment|0.0|12584.8|1|0|0|romana felińskiego|chwarzno-wiczlino|gdynia|54.490386|18.423491|gdynia_chwarzno-wiczlino
48.0|2.0|0|secondary|0|0|2000.0|0.0|Apartment|0.0|11395.83|0|1|0|franciszka sokoła|chwarzno-wiczlino|gdynia|54.490386|18.423491|gdynia_chwarzno-wiczlino
47.72|2.0|1-3|secondary|1|0|1930.0|0.0|Apartment|0.0|10456.83|0|0|0|zielna|olszynka|gdansk|54.336058|18.668852|gdansk_olszynka
51.0|2.0|1-3|secondary|0|0|1993.0|0.0|Apartment|0.0|11078.43|0|0|0|seweryna goszczyńskiego|siedlce|gdansk|54.351463|18.614973|gdansk_siedlce
49.8|3.0|1-3|secondary|0|0|2013.0|1.0|Apartment|0.0|11646.59|1|0|0|potęgowska|jasień|gdansk|54.340089|18.560014|gdansk_jasień
68.38|3.0|8+|secondary|1|1|2023.0|1.0|Apartment|0.0|26148.0|1|0|0|legionów|redłowo|gdynia|54.500086|18.541598|gdynia_redłowo
53.2|4.0|1-3|secondary|1|1|1976.0|1.0|Apartment|1.0|15921.05|1|0|0|władysława reymonta|wrzeszcz górny|gdansk|54.379788|18.583287|gdansk_wrzeszcz górny
50.0|2.0|4-7|secondary|1|1|2023.0|0.0|Apartment|1.0|29400.0|0|0|1|św. piotra|leszczynki|gdynia|54.524781|18.545343|gdynia_leszczynki
58.0|3.0|1-3|secondary|1|1|2023.0|1.0|Apartment|1.0|10862.07|0|0|1|władysława wagnera|chwarzno-wiczlino|gdynia|54.502673|18.424516|gdynia_chwarzno-wiczlino
36.85|2.0|1-3|secondary|1|1|2023.0|1.0|Apartment|0.0|21139.76|1|0|0||wyspa sobieszewska|gdansk|54.344034|18.827022|gdansk_wyspa sobieszewska
55.0|3.0|1-3|secondary|1|0|2020.0|0.0|Apartment|0.0|20000.0|1|0|0|turystyczna 60|wyspa sobieszewska|gdansk|54.344034|18.827022|gdansk_wyspa sobieszewska
42.3|2.0|1-3|secondary|0|0|1975.0|1.0|Apartment|1.0|11820.21|0|0|0|rolnicza|witomino|gdynia|54.499258|18.511136|gdynia_witomino
50.8|3.0|0|primary|1|1|2024.0|1.0|Apartment|0.0|9458.66|0|1|0||orunia górna - gdańsk południe|gdansk|54.321794|18.617544|gdansk_orunia górna - gdańsk południe
56.7|3.0|1-3|secondary|0|0|1956.0|1.0|Apartment|1.0|12962.96|0|0|0|rajska|śródmieście|gdansk|54.35588|18.64708|gdansk_śródmieście
37.0|2.0|1-3|secondary|1|0|2022.0|0.0|Apartment|0.0|13918.92|1|0|0|franciszka sokoła|chwarzno-wiczlino|gdynia|54.490386|18.423491|gdynia_chwarzno-wiczlino
71.7|4.0|1-3|secondary|0|0|1989.0|1.0|Apartment|1.0|11143.65|1|0|0|prof. józefa więckowskiego|chełm|gdansk|54.333487|18.613844|gdansk_chełm
37.1|2.0|0|primary|1|1|2024.0|1.0|Apartment|0.0|10278.98|0|1|1||orunia górna - gdańsk południe|gdansk|54.321794|18.617544|gdansk_orunia górna - gdańsk południe
31.9|2.0|1-3|primary|1|1|2024.0|1.0|Apartment|0.0|11143.42|1|0|0||orunia górna - gdańsk południe|gdansk|54.321794|18.617544|gdansk_orunia górna - gdańsk południe
56.12|3.0|0|primary|1|0|2024.0|1.0|Apartment|0.0|13096.94|0|1|0|gerarda denhoffa 2|grabówek|gdynia|54.523362|18.51654|gdynia_grabówek
27.68|1.0|0|primary|1|1|2024.0|1.0|Apartment|0.0|15420.7|1|0|0||śródmieście|gdansk|54.34902|18.6518|gdansk_śródmieście
47.6|2.0|1-3|secondary|1|0|1964.0|0.0|Apartment|1.0|12584.03|1|0|0||żabianka-wejhera-jelitkowo-tysiąclecia|gdansk|54.420659|18.571526|gdansk_żabianka-wejhera-jelitkowo-tysiąclecia
53.45|3.0|1-3|primary|1|1|2023.0|1.0|Apartment|0.0|9444.53|1|0|0||orunia górna - gdańsk południe|gdansk|54.321794|18.617544|gdansk_orunia górna - gdańsk południe
26.36|1.0|1-3|primary|1|1|2024.0|1.0|Apartment|0.0|13300.08|1|0|0||śródmieście|gdansk|54.34902|18.6518|gdansk_śródmieście
31.8|2.0|1-3|primary|1|1|2025.0|1.0|Apartment|0.0|11179.25|1|0|0||orunia górna - gdańsk południe|gdansk|54.321794|18.617544|gdansk_orunia górna - gdańsk południe
43.9|2.0|1-3|secondary|0|0|1970.0|0.0|Apartment|1.0|12300.68|1|0|0||pustki cisowskie-demptowo|gdynia|54.51768|18.53892|gdynia_pustki cisowskie-demptowo
59.57|3.0|1-3|secondary|0|1|2023.0|0.0|Apartment|0.0|24005.37|1|0|0||śródmieście|gdansk|54.34902|18.6518|gdansk_śródmieście
77.22|3.0|4-7|secondary|0|1|2021.0|0.0|Apartment|0.0|22533.02|0|0|0||wrzeszcz górny|gdansk|54.347591|18.641477|gdansk_wrzeszcz górny
36.8|2.0|0|primary|1|1|2024.0|1.0|Apartment|0.0|15535.05|1|0|0||śródmieście|gdansk|54.34902|18.6518|gdansk_śródmieście
69.55|4.0|1-3|primary|1|1|2024.0|1.0|Apartment|0.0|8004.31|1|0|0||ujeścisko-łostowice|gdansk|54.31911|18.591801|gdansk_ujeścisko-łostowice
56.5|3.0|1-3|primary|1|1|2024.0|1.0|Apartment|0.0|9049.12|1|0|0||orunia górna - gdańsk południe|gdansk|54.321794|18.617544|gdansk_orunia górna - gdańsk południe
38.0|2.0|4-7|secondary|1|1|2021.0|0.0|Apartment|0.0|18394.74|1|0|0|sucha 39b|letnica|gdansk|54.396438|18.644403|gdansk_letnica
78.8|3.0|0|secondary|1|0|1932.0|0.0|Apartment|0.0|13312.18|0|1|0|leona wyczółkowskiego|siedlce|gdansk|54.353591|18.626091|gdansk_siedlce
43.9|2.0|1-3|secondary|1|0|1969.0|1.0|Apartment|1.0|12300.68|1|0|0|kartuska 45-59|chylonia|gdynia|54.538533|18.458974|gdynia_chylonia
47.25|2.0|0|primary|1|1|2025.0|1.0|Apartment|1.0|11216.93|0|1|0|diany|osowa|gdansk|54.430298|18.470018|gdansk_osowa
59.24|4.0|1-3|primary|1|1|2024.0|1.0|Apartment|0.0|9198.94|1|0|0||orunia górna - gdańsk południe|gdansk|54.321794|18.617544|gdansk_orunia górna - gdańsk południe
51.71|3.0|1-3|primary|1|1|2024.0|1.0|Apartment|0.0|9633.59|1|0|0|starogardzka|orunia górna - gdańsk południe|gdansk|54.321794|18.617544|gdansk_orunia górna - gdańsk południe
48.2|2.0|1-3|secondary|0|1|1970.0|0.0|Apartment|0.0|13858.92|1|0|0|kombatantów|zaspa|gdansk|54.397681|18.609269|gdansk_zaspa
89.92|4.0|1-3|secondary|0|0|2001.0|1.0|Apartment|1.0|9897.69|1|0|0|oliwkowa|dąbrowa|gdynia|54.47118|18.470508|gdynia_dąbrowa
42.0|2.0|0|secondary|0|0|1975.0|0.0|Apartment|1.0|12833.33|1|0|0|karola kurpińskiego|suchanino|gdansk|52.17628|21.029665|gdansk_suchanino
33.0|2.0|0|primary|1|1|2024.0|1.0|Apartment|0.0|11092.42|0|1|1||orunia górna - gdańsk południe|gdansk|54.321794|18.617544|gdansk_orunia górna - gdańsk południe
